PLAN DE ESTUDIOS - ESCUELA: FZ-EPZ - CÓDIGO: FZ07-2018-22

FZ07-2018-22 | 119 | Créditos: 
PLAN DE ESTUDIOS ZOOTECNIA 2018 | 90 | Créditos: 
ZOOTECNIA | 3 | Créditos: 
295-2018-CU-R-UNAS | 0 | Créditos: 
2018-1 | 212 | Créditos: 
BI010101 | MATEMATICA BASICA | Créditos: 4
BI010103 | QUIMICA GENERAL | Créditos: 4
BI010105 | BIOLOGIA GENERAL | Créditos: 4
BI010108 | LENGUAJE Y REDACCION GENERAL | Créditos: 3
FZ070102 | INTRODUCCION AL DESARROLLO DEL PERFIL ZOOTECNISTA | Créditos: 2
FZ070105 | PRACTICAS ZOOTECNICAS I | Créditos: 2
BI010106 | BOTANICA GENERAL | Créditos: 4
BI010201 | MATEMATICA I | Créditos: 4
BI010203 | QUIMICA ORGANICA | Créditos: 4
FZ070202 | ECOSISTEMAS PECUARIOS | Créditos: 3
FZ070203 | INGLES I | Créditos: 2
FZ070205 | PRACTICAS ZOOTECNICAS II | Créditos: 2
FZ070207 | ZOOLOGIA APLICADA | Créditos: 4
BI010102 | FISICA I | Créditos: 4
BI010301 | MATEMATICA II | Créditos: 4
FZ070301 | ANATOMIA ANIMAL COMPARADA | Créditos: 4
FZ070302 | BIOQUIMICA NUTRICIONAL | Créditos: 4
FZ070303 | DIBUJO TECNICO Y DISEÑO GRAFICO | Créditos: 2
FZ070305 | INGLES 2 | Créditos: 2
FZ070307 | METODOLOGIA DE LA INVESTIGACION CIENTIFICA I | Créditos: 3
FZ070401 | BIOMETRIA I | Créditos: 4
FZ070402 | FISIOLOGIA ANIMAL | Créditos: 4
FZ070403 | FISIOLOGIA VEGETAL | Créditos: 3
FZ070404 | INTRODUCCION A LA CIENCIA DEL SUELO | Créditos: 3
FZ070405 | MICROBIOLOGIA ANIMAL | Créditos: 4
FZ070406 | TOPOGRAFIA Y SIG | Créditos: 3
BI010109 | CULTURA DE PAZ Y DEFENSA NACIONAL | Créditos: 3
FZ070501 | BIOMETRIA II | Créditos: 4
FZ070503 | GENETICA ANIMAL | Créditos: 4
FZ070504 | MECANIZACION AGROPECUARIA | Créditos: 3
FZ070505 | NUTRICION ANIMAL | Créditos: 4
FZ070506 | REPRODUCCION ANIMAL | Créditos: 4
FZ070601 | ALIMENTACION ANIMAL | Créditos: 4
FZ070602 | BIOCLIMATOLOGIA | Créditos: 3
FZ070603 | BIOTECNOLOGIA DE LA REPRODUCCION | Créditos: 3
FZ070604 | CULTIVOS AGRICOLAS | Créditos: 3
FZ070605 | PATOLOGIA ANIMAL | Créditos: 4
FZ070606 | PRODUCCION Y MANEJO DE PASTOS Y FORRAJES | Créditos: 4
FZ070701 | ENFERMEDADES INFECCIOSAS | Créditos: 4
FZ070702 | ENFERMEDADES PARASITARIAS | Créditos: 4
FZ070703 | MEJORA GENETICA ANIMAL | Créditos: 4
FZ070704 | NUTRICION Y ALIMENTACION DE MONO GASTRICOS | Créditos: 3
FZ070705 | NUTRICION Y ALIMENTACION DE POLIGASTRICOS | Créditos: 3
FZ070706 | SOCIOLOGIA E INTERCULTURALIDAD | Créditos: 3
FZ070707 | ACTIVIDAD LIBRE: ARTISTICO CULTURAL | Créditos: 1
FZ070801 | ACUICULTURA | Créditos: 3
FZ070802 | CRIANZA DE ANIMALES SILVESTRES EN CAUTIVERIO | Créditos: 3
FZ070803 | PRODUCCION DE CUYES Y CONEJOS | Créditos: 4
FZ070804 | PRODUCCION DE VACUNO DE CARNE | Créditos: 4
FZ070805 | PRODUCCION DE VACUNOS DE LECHE | Créditos: 4
