PLAN DE ESTUDIOS - ESCUELA: FA-EPA - CÓDIGO: FA2018-2020

FA2018-2020 | 193 | Créditos: 
PLAN DE ESTUDIOS AGRONOMIA 2018 (AG03) | 14 | Créditos: 
AGRONOMIA | 3 | Créditos: 
557-2017-CU-R-UNAS | 3 | Créditos: 
2018-1 | 213 | Créditos: 
AG030101 | BIOLOGIA GENERAL | Créditos: 3
AG030102 | BOTANICA GENERAL | Créditos: 3
AG030103 | COMUNICACION ORAL Y ESCRITA | Créditos: 2
AG030104 | INTRODUCCION A LA INGENIERIA AGRONOMICA | Créditos: 2
AG030105 | MATEMATICA BASICA | Créditos: 3
AG030106 | QUIMICA INORGANICA | Créditos: 4
AG030107 | TECNOLOGIA DE INFORMACION | Créditos: 2
AG030201 | BOTANICA ECONOMICA | Créditos: 3
AG030202 | CALCULO I | Créditos: 4
AG030203 | DEONTOLOGIA | Créditos: 2
AG030204 | DIBUJO DE INGENIERIA | Créditos: 2
AG030205 | GEOLOGIA AGRICOLA | Créditos: 2
AG030206 | INTRODUCCION A LA INVESTIGACION | Créditos: 2
AG030207 | QUIMICA ORGANICA | Créditos: 4
AG030208 | ACTIVIDAD LIBRE FISICO DEPORTIVAS | Créditos: 1
AG030301 | BIOESTADISTICA I | Créditos: 4
AG030302 | BIOQUIMICA VEGETAL | Créditos: 4
AG030303 | CALCULO II | Créditos: 4
AG030304 | ECONOMIA AGRICOLA | Créditos: 3
AG030305 | EDAFOLOGIA | Créditos: 4
AG030306 | FISICA GENERAL | Créditos: 4
AG030401 | BIOESTADISTICA II | Créditos: 4
AG030402 | ENTOMOLOGIA GENERAL | Créditos: 3
AG030403 | FISIOLOGIA VEGETAL | Créditos: 4
AG030404 | GENETICA VEGETAL | Créditos: 3
AG030405 | MICROBIOLOGIA AGRICOLA | Créditos: 3
AG030406 | TOPOGRAFIA | Créditos: 4
AG030501 | AGROMETEOROLOGIA | Créditos: 4
AG030502 | DISEÑO Y CONSTRUCCIONES AGRICOLAS | Créditos: 3
AG030503 | FITOPATOLOGIA GENERAL | Créditos: 4
AG030504 | MAQUINARIA Y MECANIZACION AGRICOLA | Créditos: 4
AG030505 | POLITICA Y LEGISLACION AGRARIA | Créditos: 3
AG030506 | PROPAGACION DE PLANTAS | Créditos: 3
AG030507 | SISTEMA DE INFORMACION GEOGRAFICA | Créditos: 3
AG030601 | AGROTECNIA | Créditos: 4
AG030602 | BIOTECNOLOGIA VEGETAL | Créditos: 3
AG030603 | ENTOMOLOGIA AGRICOLA | Créditos: 3
AG030604 | FERTILIDAD DE SUELOS | Créditos: 4
AG030605 | FITOMEJORAMIENTO | Créditos: 4
AG030606 | MANEJO INTEGRADO DE MALEZAS | Créditos: 3
AG030607 | ACTIVIDAD LIBRE CIVICO COMUNITARIO | Créditos: 1
AG030701 | AGROECOLOGIA | Créditos: 3
AG030702 | CONTABILIDAD DE COSTOS AGRICOLAS | Créditos: 3
AG030703 | EXTENSION AGRICOLA | Créditos: 4
AG030704 | FITOPATOLOGIA TROPICAL | Créditos: 4
AG030705 | MANEJO Y CONSERVACION DE SUELOS | Créditos: 3
AG030706 | MEJORAMIENTO DE CULTIVOS | Créditos: 3
AG030707 | ELECTIVO I | Créditos: 2
AG030801 | ARROZ - MAIZ | Créditos: 4
AG030802 | CAFE I | Créditos: 2
AG030803 | CACAO I | Créditos: 2
AG030804 | PLATANO - CITRICOS | Créditos: 2
AG030805 | RIEGOS Y DRENAJES | Créditos: 4
AG030806 | TESIS I | Créditos: 2
AG030807 | ELECTIVO II | Créditos: 2
AG030808 | ACTIVIDAD LIBRE ARTISTICO CULTURAL | Créditos: 1
AG030901 | CACAO II | Créditos: 3
AG030902 | CAFE II | Créditos: 2
