PLAN DE ESTUDIOS - ESCUELA: FCEA-EPA - CÓDIGO: PE-EPA-DA09

PE-EPA-DA09 | 189 | Créditos: 
PLAN DE ESTUDIOS ADMINISTRACION 2022 | 9 | Créditos: 
ADMINISTRACION | 3 | Créditos: 
506-2022-CU-R-UNAS | 4 | Créditos: 
2022-1 | 205 | Créditos: 
DA090101 | INTRODUCCION A LOS NEGOCIOS | Créditos: 4
DA090102 | INGLES I | Créditos: 3
DA090103 | ACTIVIDAD I - FISICO DEPORTIVA | Créditos: 1
DA090104 | MATEMATICA BASICA | Créditos: 4
DA090105 | CULTURA DE PAZ Y DEFENSA NACIONAL | Créditos: 3
DA090106 | SOCIOLOGIA | Créditos: 3
DA090107 | LENGUAJE Y REDACCION | Créditos: 3
DA090201 | FUNDAMENTOS DE ADMINISTRACION | Créditos: 4
DA090202 | DERECHO EMPRESARIAL | Créditos: 3
DA090203 | COMUNICACION CIENTIFICA EN ADMINISTRACION | Créditos: 3
DA090204 | INGLES II | Créditos: 3
DA090205 | ACTIVIDAD II - ARTISTICO Y CULTURAL | Créditos: 1
DA090206 | MATEMATICA SUPERIOR | Créditos: 4
DA090207 | ECONOMIA GENERAL | Créditos: 4
DA090301 | TEORIA Y DISEÑOS ORGANIZACIONALES | Créditos: 4
DA090302 | FUNDAMENTOS DE FINANZAS | Créditos: 4
DA090303 | FUNDAMENTOS DE INVESTIGACION CIENTIFICA | Créditos: 3
DA090304 | ACTIVIDAD III - CIVICO COMUNITARIA | Créditos: 1
DA090305 | CONTABILIDAD GENERAL | Créditos: 4
DA090306 | INTRODUCCION A LA ESTADISTICA | Créditos: 3
DA090401 | COMPORTAMIENTO ORGANIZACIONAL | Créditos: 4
DA090402 | GESTION DE LA  CADENA DE SUMINISTRO | Créditos: 4
DA090403 | GESTION DE COSTOS Y PRESUPUESTOS | Créditos: 4
DA090404 | ESTADISTICA INFERENCIAL | Créditos: 3
DA090405 | FORMALIZACION Y CONSTITUCION DE EMPRESAS | Créditos: 3
DA090501 | GESTION PUBLICA | Créditos: 4
DA090502 | GESTION DE OPERACIONES | Créditos: 4
DA090503 | ANALISIS GERENCIAL DE ESTADOS FIANANCIEROS | Créditos: 4
DA090504 | FUNDAMENTO DE MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR | Créditos: 4
DA090505 | DISEÑOS E INSTRUMENTOS DE INVESTIGACION | Créditos: 3
DA090601 | PLANEAMIENTO ESTRATEGICO | Créditos: 4
DA090602 | SISTEMAS DE GESTION DE CALIDAD | Créditos: 4
DA090603 | FINANZAS EMPRESARIALES | Créditos: 4
DA090604 | INVESTIGACION DE MERCADOS | Créditos: 4
DA090605 | GESTION DE TALENTO HUMANO I | Créditos: 4
DA090701 | CONTRATACIONES DEL ESTADO | Créditos: 4
DA090702 | GESTION DE PROCESOS DE NEGOCIOS | Créditos: 4
DA090703 | FINANZAS CORPORATIVAS | Créditos: 4
DA090704 | MARKETING ESTRATEGICO | Créditos: 4
DA090705 | INVESTIGACION EN ADMINISTRACION I | Créditos: 3
DA090801 | GESTION ESTRATEGICA DE NEGOCIOS | Créditos: 4
DA090802 | ETICA Y DEONTOLOGIA PROFESIONAL | Créditos: 3
DA090803 | FINANZAS PUBLICAS | Créditos: 4
DA090804 | MARKETING OPERATIVO | Créditos: 4
DA090805 | GESTION DE TALENTO HUMANO II | Créditos: 4
DA090811 | ELECTIVO I | Créditos: 3
DA090901 | GESTION TURISTICA Y HOTELERA | Créditos: 4
DA090902 | GESTION AMBIENTAL EMPRESARIAL | Créditos: 4
DA090903 | JUEGO DE NEGOCIOS | Créditos: 4
DA090904 | NEGOCIOS INTERNACIONALES | Créditos: 4
DA090905 | INVESTIGACION EN ADMINISTRACION II | Créditos: 3
DA090910 | ELECTIVO II | Créditos: 3
DA091001 | CONTROL DE GESTION | Créditos: 4
DA091002 | GERENCIA DE RESPONSABILIDAD SOCIAL EMPRESARIAL | Créditos: 4
DA091003 | PLAN DE NEGOCIOS | Créditos: 4
DA091004 | GESTION DEL PROCESO DE EXPORTACION E IMPORTACION | Créditos: 4
DA091009 | PRACTICAS PRE PROFESIONALES | Créditos: 4
DA091010 | ELECTIVO III | Créditos: 3
DA091011 | TRABAJO DE INVESTIGACION | Créditos: 3
DA090906 | BALANCED SCORECARD | Créditos: 3
DA090907 | GESTION BANCARIA Y ENTIDADES FINANCIERAS | Créditos: 3
DA090908 | MARKETING DIGITAL | Créditos: 3
DA090909 | GESTION DE LA COMPENSACION | Créditos: 3
DA090806 | GESTION DE OBRAS | Créditos: 3
DA090807 | GESTION DE LA INNOVACION | Créditos: 3
DA090808 | GERENCIA DE VENTAS | Créditos: 3
DA090809 | GESTION DEL DESARROLLO Y CAPACITACION | Créditos: 3
DA090810 | INGLES III | Créditos: 3
DA091005 | NEGOCIACIONES EMPRESARIALES | Créditos: 3
DA091006 | GESTION DE RIESGOS FINANCIEROS | Créditos: 3
DA091007 | MARKETING DE SERVICIOS | Créditos: 3
DA091008 | GESTION DE RENDIMIENTO | Créditos: 3
