PLAN DE ESTUDIOS - ESCUELA: FCEA-EPE - CÓDIGO: PE-EPE-EC08

PE-EPE-EC08 | 194 | Créditos: 
PLAN DE ESTUDIOS ECONOMIA 2026 (EC08) | 12 | Créditos: 
ECONOMIA | 3 | Créditos: 
EC080101 | INTRODUCCION A LA MICROECONOMIA | Créditos: 4
EC080102 | METODOLOGIA DEL TRABAJO UNIVERSITARIO | Créditos: 3
EC080103 | INGLES BASICO | Créditos: 3
EC080104 | SOCIOLOGIA | Créditos: 3
EC080105 | ADMINISTRACION GENERAL | Créditos: 4
EC080106 | MATEMATICA BASICA | Créditos: 4
EC080107 | ACTIVIDAD LIBRE I: FISICO-DEPORTIVO | Créditos: 1
EC080201 | LEGISLACION ECONOMICA | Créditos: 3
EC080202 | ANALISIS MICROECONOMICO I | Créditos: 4
EC080203 | INTRODUCCION A LA MACROECONOMIA | Créditos: 4
EC080204 | DESARROLLO PERSONAL | Créditos: 3
EC080205 | LENGUAJE Y REDACCION | Créditos: 3
EC080206 | MATEMATICA SUPERIOR | Créditos: 4
EC080207 | ACTIVIDAD LIBRE II: ARTISTICO CULTURAL | Créditos: 1
EC080301 | HISTORIA DEL PENSAMIENTO ECONOMICO | Créditos: 3
EC080302 | EMPRENDIMIENTO Y LIDERAZGO | Créditos: 3
EC080303 | ANALISIS MICROECONOMICO II | Créditos: 4
EC080304 | ANALISIS MACROECONOMICO I | Créditos: 4
EC080305 | ESTADISTICA APLICADA A LA ECONOMIA Y NEGOCIOS I | Créditos: 4
EC080306 | ANALISIS ECONOMICO ESTATICO | Créditos: 4
EC080401 | HISTORIA ECONOMICA DEL PERU | Créditos: 3
EC080402 | ECONOMIA Y FINANZAS PUBLICAS | Créditos: 4
EC080403 | ORGANIZACION Y REGULACION DE MERCADOS | Créditos: 4
EC080404 | ANALISIS MACROECONOMICO II | Créditos: 4
EC080405 | ESTADISTICA APLICADA A LA ECONOMIA Y NEGOCIOS II | Créditos: 4
