PLAN DE ESTUDIOS - ESCUELA: FIIA-EPIIA - CÓDIGO: EPIIA-05

EPIIA-05 | 191 | Créditos: 
PLAN DE ESTUDIO ING. EN INDUSTRIAS ALIMENTARIAS 2022 | 12 | Créditos: 
INGENIERIA EN INDUSTRIAS ALIMENTARIAS | 3 | Créditos: 
621-2021-CU-R-UNAS | 3 | Créditos: 
2022-1 | 209 | Créditos: 
BI010108 | LENGUAJE Y REDACCION GENERAL | Créditos: 3
IA050101 | DIBUJO Y GEOMETRIA DESCRIPTIVA | Créditos: 4
IA050102 | INTRODUCCION A LA INDUSTRIA  ALIMENTARIA | Créditos: 2
IA050103 | MATEMATICA I | Créditos: 4
IA050104 | LENGUAJE Y REDACCION | Créditos: 3
IA050105 | BIOLOGIA GENERAL | Créditos: 4
IA050106 | QUIMICA GENERAL | Créditos: 4
IA050201 | DISEÑO EN INGENIERIA | Créditos: 4
IA050202 | TALLER TECNOLOGICO I | Créditos: 2
IA050203 | QUIMICA ORGANICA | Créditos: 4
IA050204 | ESTADISTICA GENERAL | Créditos: 4
IA050205 | MATEMATICA II | Créditos: 4
IA050206 | CULTURA DE PAZ Y DEFENSA NACIONAL | Créditos: 3
IA050207 | ACTIVIDAD LIBRE I (FISICO - DEPORTIVO) | Créditos: 1
IA050301 | BIOQUIMICA GENERAL | Créditos: 4
IA050302 | FENOMENOS DE TRANSPORTE | Créditos: 4
IA050303 | GESTION EMPRESARIAL | Créditos: 3
IA050304 | QUIMICA ANALITICA | Créditos: 4
IA050305 | TALLER TECNOLOGICO II | Créditos: 2
IA050306 | FISICA I | Créditos: 4
IA050401 | BIOQUIMICA DE ALIMENTOS | Créditos: 4
IA050402 | FISICOQUIMICA | Créditos: 4
IA050403 | INGLES TECNICO | Créditos: 1
IA050404 | INTRODUCCION A LA INGENIERIA DE ALIMENTOS | Créditos: 3
IA050405 | MECANICA DE FLUIDOS | Créditos: 4
IA050406 | TERMODINAMICA | Créditos: 4
IA050407 | ACTIVIDAD LIBRE II (CIVICO-COMUNITARIO) | Créditos: 1
IA050501 | METODOS ESTADISTICOS EN INGENIERIA | Créditos: 4
IA050502 | MICROBIOLOGIA DE ALIMENTOS I | Créditos: 3
IA050503 | QUIMICA DE ALIMENTOS | Créditos: 4
IA050504 | REOLOGIA | Créditos: 3
IA050505 | DISEÑO DE ENVASES Y EMBALAJES | Créditos: 3
IA050506 | TRANSFERENCIA DE CALOR Y MASA | Créditos: 4
IA050507 | ACTIVIDAD LIBRE III (ARTISTICO - CULTURAL) | Créditos: 1
IA050601 | ANALISIS DE ALIMENTOS I | Créditos: 4
IA050602 | FUNDAMENTOS DE CONSERVACION DE ALIMENTOS | Créditos: 3
IA050603 | INGENIERIA DE PROYECTOS AGROINDUSTRIALES | Créditos: 3
IA050604 | INSTRUMENTACION DE OPERACIONES | Créditos: 3
IA050605 | MICROBIOLOGIA DE ALIMENTOS II | Créditos: 4
IA050606 | TECNOLOGIA POST COSECHA | Créditos: 3
IA050701 | ANALISIS DE ALIMENTOS II | Créditos: 3
IA050702 | EVALUACION SENSORIAL DE ALIMENTOS | Créditos: 3
IA050703 | FUNDAMENTOS DE INVESTIGACION | Créditos: 2
IA050704 | INGENIERIA DE ALIMENTOS I | Créditos: 4
IA050705 | TECNOLOGIA DE CAFE Y CACAO | Créditos: 3
IA050706 | TECNOLOGIA DE FRUTAS Y HORTALIZAS | Créditos: 3
IA050707 | ELECTIVO GRUPO I | Créditos: 3
IA050801 | ALIMENTACION Y NUTRICION HUMANA | Créditos: 3
IA050802 | INGENIERIA DE ALIMENTOS II | Créditos: 4
IA050803 | INGENIERIA DEL FRIO | Créditos: 4
IA050804 | INGENIERIA ENZIMATICA | Créditos: 3
IA050805 | TECNOLOGIAS CARNICAS | Créditos: 3
IA050806 | ELECTIVO GRUPO II | Créditos: 3
IA050901 | ASEGURAMIENTO Y CONTROL DE CALIDAD DE  ALIMENTOS | Créditos: 3
IA050902 | BIOTECNOLOGIA DE ALIMENTOS | Créditos: 3
IA050903 | DISEÑOS DE NUEVOS PRODUCTOS I+D+I | Créditos: 3
IA050904 | DISEÑOS DE PLANTAS AGROINDUSTRIALES | Créditos: 3
IA050905 | PRACTICA PRE PROFESIONAL | Créditos: 3
IA050906 | SEMINARIO DE INVESTIGACION I | Créditos: 3
IA050907 | TECNOLOGIA DE INDUSTRIAS LACTEAS | Créditos: 3
IA050908 | ELECTIVO GRUPO I | Créditos: 3
IA051001 | NANOTECNOLOGIA DE ALIMENTOS | Créditos: 4
IA051003 | SIMULACION Y OPTIMIZACION DE PROCESOS | Créditos: 4
IA051004 | TECNOLOGIA E INDUSTRIAS DE ACEITES Y GRASAS | Créditos: 3
IA051005 | ELECTIVO GRUPO II | Créditos: 3
IA051006 | TRABAJO DE INVESTIGACION | Créditos: 3
IA051002 | SEMINARIO DE INVESTIGACION II | Créditos: 3
IA05E101 | AROMATIZANTES PARA LA INDUSTRIA ALIMENTARIA | Créditos: 3
IA05E102 | CIENCIA DE ALIMENTOS FUNCIONALES | Créditos: 3
IA05E103 | ENOLOGIA | Créditos: 3
IA05E104 | FERMENTACIONES INDUSTRIALES | Créditos: 3
IA05E105 | GESTION AMBIENTAL EN LA INDUSTRIA ALIMENTARIA | Créditos: 3
IA05E107 | LEGISLACION INDUSTRIAL Y LABORAL | Créditos: 3
IA05E109 | TECNOLOGIA DE GRANOS Y CEREALES | Créditos: 3
IA05E110 | TECNOLOGIA DE PRODUCTOS TROPICALES | Créditos: 3
IA05E112 | TRANSFERENCIA DE TECNOLOGIA | Créditos: 3
IA05E114 | AROMATIZANTES Y COLORANTES PARA LA IND. ALIMENTARIA | Créditos: 3
IA05E115 | CIENCIA DE ALIMENTOS FUNCIONALES | Créditos: 3
IA05E212 | TRATAMIENTO TERMICO | Créditos: 3
IA05E213 | VIDA UTIL DE ALIMENTOS | Créditos: 3
IA05E106 | INDUSTRIAS DE PANIFICACION | Créditos: 3
IA05E108 | SEGURIDAD E HIGIENE ALIMENTARIA | Créditos: 3
IA05E111 | TOXICOLOGIA ALIMENTARIA | Créditos: 3
IA05E113 | TRATATAMIENTO DE AGUAS Y BEBIDAS | Créditos: 3
IA05E201 | EXTRUSION DE ALIMENTOS | Créditos: 3
IA05E202 | FUNDAMENTOS DE CONTROL DE PROCESOS | Créditos: 3
IA05E203 | HERRAMIENTAS ESTADISTICAS PARA LA INVESTIGACION | Créditos: 3
IA05E204 | INGENIERIA DE LA TRANSFORMACION DEL CAFE Y CACAO | Créditos: 3
IA05E205 | INGENIERIA ECONOMICA | Créditos: 3
IA05E206 | INVESTIGACION DE OPERACIONES | Créditos: 3
IA05E207 | INGENIERIA DE LA PRODUCCION ALIMENTARIA | Créditos: 3
IA05E208 | RECURSOS HIDROBIOLOGICOS | Créditos: 3
IA05E209 | SECADO DE ALIMENTOS | Créditos: 3
IA05E210 | TECNICAS DE ESTUDIO E INVESTIGACION | Créditos: 3
IA05E211 | TECNOLOGIA DE EXTRACCION | Créditos: 3
