PLAN DE ESTUDIOS - ESCUELA: FIIS-EPIIS - CÓDIGO: EPIIS2024

EPIIS2024 | 196 | Créditos: 
PLAN DE ESTUDIOS ING. EN INFORMATICA Y SISTEMAS 2024 (IS04) | 12 | Créditos: 
INGENIERIA EN INFORMATICA Y SISTEMAS | 3 | Créditos: 
105-24-CU-R-UNAS | 4 | Créditos: 
- | 215 | Créditos: 
IS040101 | MATEMATICA BASICA I | Créditos: 4
IS040102 | TALLER DE HABILIDADES BLANDAS | Créditos: 3
IS040103 | SOSTENIBILIDAD Y RESPONSABILIDAD SOCIAL | Créditos: 3
IS040104 | REDACCION Y COMPRENSION LECTORA | Créditos: 3
IS040105 | FUNDAMENTOS DE COMPUTACION | Créditos: 5
IS040106 | ACTIVIDAD LIBRE - FISICO DEPORTIVO | Créditos: 1
IS040201 | MATEMATICA BASICA II | Créditos: 4
IS040202 | PENSAMIENTO SISTEMICO | Créditos: 3
IS040203 | PROGRAMACION BASICA | Créditos: 5
IS040204 | SOPORTE DE TI | Créditos: 4
IS040205 | INGLES TECNICO PARA INFORMATICA | Créditos: 4
IS040206 | ACTIVIDAD LIBRE - ARTISTICO CULTURALES | Créditos: 1
IS040301 | MATEMATICA SUPERIOR | Créditos: 4
IS040302 | MATEMATICA DISCRETA | Créditos: 4
IS040303 | ESTRUCTURA DE DATOS Y ALGORITMOS | Créditos: 4
IS040304 | SISTEMAS OPERATIVOS I | Créditos: 4
IS040305 | REDES Y CONECTIVIDAD I | Créditos: 4
IS040306 | ACTIVIDAD LIBRE - CIVICO COMUNITARIAS | Créditos: 1
IS040401 | FISICA | Créditos: 4
IS040402 | DISEÑO DE BASE DE DATOS | Créditos: 4
IS040403 | CONSTRUCCION DE SOFTWARE I | Créditos: 5
IS040404 | SISTEMAS OPERATIVOS II | Créditos: 4
IS040405 | REDES Y CONECTIVIDAD II | Créditos: 4
IS040501 | ESTADISTICA Y PROBABILIDADES | Créditos: 4
IS040502 | GESTION DE BASE DE DATOS | Créditos: 3
IS040503 | INGENIERIA DE REQUISITOS | Créditos: 5
IS040504 | SERVIDORES Y CENTRO DE DATOS | Créditos: 4
IS040505 | INTERNET DE LAS COSAS | Créditos: 3
IS040506 | ETICA Y PRACTICA PROFESIONAL | Créditos: 2
IS040601 | GESTION DE PROCESOS DE NEGOCIO | Créditos: 4
IS040602 | ANALITICA DE DATOS | Créditos: 3
IS040603 | DISEÑO DETALLADO DE SOFTWARE | Créditos: 4
IS040604 | COMPUTACION EN LA NUBE | Créditos: 3
IS040605 | GESTION DE PROYECTOS DE TI | Créditos: 4
IS040606 | ARQUITECTURA DE SOFTWARE | Créditos: 4
IS040701 | FUNDAMENTOS DE INVESTIGACION | Créditos: 4
IS040702 | SISTEMAS DE INFORMACION | Créditos: 3
IS040703 | CONSTRUCCION DE SOFTWARE II | Créditos: 5
IS040704 | SEGURIDAD INFORMATICA | Créditos: 4
IS040705 | GESTION DE SERVICIOS DE TI | Créditos: 4
IS040706 | ELECTIVO I | Créditos: 3
IS040801 | DISEÑO DE INVESTIGACION I | Créditos: 4
IS040802 | DISEÑO DE SISTEMAS DE INFORMACION | Créditos: 3
IS040803 | CALIDAD DE PRODUCTO DE SOFTWARE | Créditos: 4
IS040804 | SEGURIDAD DE LA INFORMACION | Créditos: 4
IS040805 | PRACTICAS PRE PROFESIONAL | Créditos: 4
IS040806 | ELECTIVO II | Créditos: 3
IS040901 | DISEÑO DE INVESTIGACION II | Créditos: 4
IS040902 | GESTION DE CALIDAD DE SISTEMAS | Créditos: 4
IS040903 | INTEGRACION DE SISTEMAS DE SOFTWARE | Créditos: 4
IS040904 | ARQUITECTURA DE INFRAESTRUCTURA DE TI | Créditos: 4
IS040905 | ELECTIVO III | Créditos: 3
IS040907 | INNOVACION Y EMPRENDIMIENTO | Créditos: 4
IS041001 | DESARROLLO DE INVESTIGACION | Créditos: 5
IS041002 | ARQUITECTURA EMPRESARIAL | Créditos: 4
IS041003 | CALIDAD DE PROCESOS DE SOFTWARE | Créditos: 3
IS041004 | PLANIEAMIENTO Y GOBIERNO DE TI | Créditos: 3
IS041005 | MANTENIMIENTO DE SOFTWARE | Créditos: 4
IS041006 | ELECTIVO IV | Créditos: 3
IS04E101 | MÉTODOS ÁGILES PARA EL DESARROLLO DE SOFTWARE | Créditos: 3
IS04E103 | PRUEBAS DE SOFTWARE | Créditos: 3
IS04E105 | INTRODUCCIÓN A LA CIENCIA DE DATOS | Créditos: 3
IS04E201 | LINUX AVANZADO | Créditos: 3
IS04E204 | SISTEMAS INALÁMBRICOS | Créditos: 3
N0907 | MULTIMEDIA Y PROCESAMIENTO DE IMAGENE | Créditos: 2
IS04E102 | DISEÑO DE INTERFAZ Y EXPERIENCIA DE USUARIO | Créditos: 3
IS04E104 | DESARROLLO DE APLICACIONES PARA LA NUBE | Créditos: 3
IS04E106 | MACHINE LEARNING | Créditos: 3
IS04E202 | PROGRAMABILIDAD DE REDES | Créditos: 3
IS04E203 | REDES AVANZADAS | Créditos: 3
IS04E205 | SEGURIDAD INFORMÁTICA AVANZADA | Créditos: 3
